"Id","Name","Acronym","Description","URL","Location","Country","Latitude","Longitude","Head of collection","Contact","National node","Withdrawn","Parent collection","Sub collections","Biobank","Biobank label","Network","Combined_network","Also known in","Type","Data categories","Order of magnitude","Size","Categories","Timestamp","Number of donors","Order of magnitude donors","Sex","Diagnosis available","Age low","Age high","Age unit","Facts","Materials","Storage temperatures","Body part examined","Imaging modality","Image dataset type","Collaboration commercial","Collaboration non for profit","Data use","Available for commercial use","Fee-based access to","Access via join projects to","Access description","Access uri","PD/SOP","Quality","Combined quality"
"bbmri-eric:ID:IT_1383758011993577:collection:1560936492847468","Neuroendocrine Tumors Biobank (NET_BANK)","NET_BANK","Born in 2014, the NETBANK includes collection of samples from patients with gastro-entero-pancreatic neuroendocrine tumors, pulmonary neuroendocrine tumors, neuroendocrine tumors of the thyroid gland, thymus and paraganglioma, neuroendocrine tumors with unknown origin and neuroendocrine tumors associated with genetic mutations. Currently the collected material include pre- and post- operative samples of cells isolated from peripheral blood, serum, plasma and tumoral/peritumoral frozen tissue.",,"Milano","Italy","45.5097542","9.2670046","falconi.massimo@hsr.it","tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Disease specific,Hospital,Sample collection,Longitudinal,Prospective study","Medical records,National registries,Biological samples,Physiological/Biochemical measurements","1000 - 10.000","1643","Oncology","2024-04-04T15:20:00Z","438","100 - 1000","Male,Female","Malignant neoplasm of pancreas,Malignant neoplasm of other and ill-defined digestive organs","18","81","Year",,"Plasma,Serum,Tissue (frozen),Peripheral blood cells","-60°C to -80°C,Liquid Nitrogen",,,,"false","true","DUO_0000007","false",,"Samples,Data,Images",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:1566827112949629","Autoimmune Rheumatological Diseases, Allergological Diseases and Rare Diseases Biobank (IMMUNORADAR)","IMMUNORADAR","""Born in 2014, the IMMUNORADAR collection includes samples from patients with autoimmune rheumatological diseases (osteoarthritis, arthritis and spondyloarthritis, systemic vasculitis), rare systemic diseases (adult Still disease, Erdheim-Chester disease, sarcoidosis and erythema nodosum, IgG4-related diseases), connective tissue systemic diseases (systemic lupus erythematosus, sclerodermia, Raynaud's disease and systemic sclerosis, Sjögren syndrome, dermatomyositis/polymyositis, antiphospholipid syndrome), adult primary immunodeficiencies, fibromyalgia, autoimmune myocarditis and allergic diseases. Currently the collected material include cells isolated from peripheral blood, serum, plasma, buffy coat, sputum, bronchoalveolar lavage, synovial fluid and pathological frozen tissue.""",,,"Italy","45.5090759","9.2669454",,"cantarelli.elisa@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Disease specific,Hospital,Sample collection,Longitudinal,Prospective study","Genealogical records","1000 - 10.000","2808","Paediatrics","2023-05-09T11:00:31Z","1415",,"Male,Female","Lupus erythematosus,Seropositive rheumatoid arthritis,Systemic sclerosis","0","2","Year",,"Plasma,Serum,Peripheral blood cells,Saliva,Tissue (frozen),Buffy Coat,DNA","-60°C to -80°C,Liquid Nitrogen",,,,"true","true",,"true",,"Samples,Data,Images",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:156690311311328","Institute of Experimental Neurology Biobank (INSPE)","BancaINSpe","The Institute of Experimental Neurology (INSPE) constitutes one of the major European institutes primarily dedicated to translational research in the neuroscience field. INSPE includes both the Neurological Department of Ospedale San Raffaele that collect samples from patients with neuroimmunological disorders as multiple sclerosis, neuromuscular disorders as inherited neuropathies as well as muscular dystrophies and motor neuron diseases as amyothrophic lateral sclerosis and research laboratories. Born in 2009, the BancaINSpe includes cells isolated from peripheral blood, serum, plasma, buffy coat/whole blood, DNA/RNA, liquor, urine, muscle and nerve biopsies, cell lines from skeletal mucles, fibroblast and induced pluripotent stem cells (IPSC).",,"Milano","Italy","45.5090759","9.2669454","previtali.stefano@hsr.it","tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Disease specific,Hospital,Sample collection,Longitudinal,Prospective study","Biological samples,Physiological/Biochemical measurements,Medical records,Genealogical records","10.000 - 100.000","13828","Paediatrics,Nervous System Disorders","2024-04-04T15:46:00Z","6826","1000 - 10.000","Male,Female","Multiple sclerosis,Other acute disseminated demyelination,Other demyelinating diseases of central nervous system,Alzheimer disease,Other degenerative diseases of nervous system, not elsewhere classified,Other degenerative disorders of nervous system in diseases classified elsewhere,Transient cerebral ischaemic attacks and related syndromes,Vascular syndromes of brain in cerebrovascular diseases,Hereditary and idiopathic neuropathy,Inflammatory polyneuropathy,Other polyneuropathies,Polyneuropathy in diseases classified elsewhere,Other disorders of peripheral nervous system,Myasthenia gravis and other myoneural disorders,Primary disorders of muscles,Other myopathies,Disorders of myoneural junction and muscle in diseases classified elsewhere,Mononeuropathies of upper limb,Mononeuropathies of lower limb,Other mononeuropathies,Mononeuropathy in diseases classified elsewhere","1","99","Year",,"Cell lines,DNA,Plasma,Serum,Tissue (frozen),Tissue (paraffin preserved),RNA,cDNA / mRNA,microRNA,Peripheral blood cells,Whole Blood,Urine,Buffy Coat","Liquid Nitrogen,-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data,Images",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:1590493534142499","COVID-19 Biobank","COVID-BioB","The COVID-19 Biobank (COVID-BioB) was agreed upon with the overall aim of characterizing patients with SARS-CoV-2 infection and creating a biobank to identify predictors of disease severity, mortality and treatment response. Born in March 2021, COVID-BioB includes collection of samples from patients with suspected or proven acute SARS-CoV-2 infection at diagnosis, at exitus/discharge and during their follow-up after hospital discharge. The COVID-BioB collects a comprehensive range of biological samples, including living peripheral blood mononuclear cells (PBMC), serum, plasma, buffy coat and pellet PB for DNA/RNA extraction, oropharyngeal secretion, sputum, stool and urine. Furthermore, residual specimens from diagnostic laboratories are collected. This allows to increase the quantity of available material and to expand the range of biospecimens collected (e.g. pleural fluid, bronchoalveolar lavage fluid, cerebrospinal fluid obtained during diagnostic procedures).",,"Milano","Italy","45.5090759","9.2669454","zangrillo.alberto@hsr.it","tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network,COVID_19","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Longitudinal,Cohort,Disease specific,Hospital,Prospective study,Sample collection","Biological samples,Data on clinical symptoms,Blood count and other lab results especially at the moment of hospital admission,Medical records,Physiological/Biochemical measurements,Treatment protocol (types of drugs used)","10.000 - 100.000","14256","Covid-19,Infectious Diseases","2024-04-04T14:46:00Z","2486","1000 - 10.000","Male,Female","Emergency use of U07 - COVID-19, virus identified,Emergency use of U07 - COVID-19, virus not identified","18","98","Year",,"DNA,Feces,Plasma,Saliva,Serum,Urine,RNA,Peripheral blood cells,Whole Blood,Buffy Coat,Nasal swab,Throat swab","-60°C to -80°C,Liquid Nitrogen",,,,"false","true","DUO_0000007","false",,,,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:6399d99e26e0487","Lung Cancer Biobank (SMAC-2)","SMAC-2","Born in 2020, the SMAC-2 includes collection of samples from subjects with high-risk to develop lung cancer and confirmed diagnosis of lung cancer at screening, diagnosis/surgical resection and during their follow-up. Currently the collected material include plasma, buffy coat, plasma cell-free DNA and frozen tumoral tissue.",,,"Italy","45.5090759","9.2669454",,"cantarelli.elisa@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Longitudinal,Disease specific,Hospital,Sample collection,Prospective study","Biological samples,Medical records,Survey data,Imaging data,Physiological/Biochemical measurements","1000 - 10.000","1199","Oncology","2023-05-09T10:55:49Z","584","1000 - 10.000","Male,Female","Malignant neoplasm of bronchus and lung",,,"Year",,"Plasma,Tissue (frozen),Buffy Coat","-60°C to -80°C,Liquid Nitrogen",,"Computed Tomography",,"false","true",,"false",,"Samples,Data,Images",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:6b5d422a9370480","Nephrology Biobank (GenNefro)","GenNefro","Born in 2014, the GenNefro aims at studying genetics in nephropathies diseases and progression and includes collection of samples from patients with acute and chronic nephropathy, hyperthension, heart failure undergoing medical or surgical therapy, policystic kidney disease (PKD), acute kidney injury (AKI), sepsis, renal complications with haematological malignancies undergoing chemotherapy treatment and/or autologous/allogeneic bone marrow transplant, hypertension in pregnacy and patients after nefrectomy and patients with arteriovenous fistulas during hemodialysis. Currently the collected material includes plasma, buffy coat and DNA.",,,"Italy","45.5090759","9.2669454",,"tresoldi.cristina@hsr.it","Italy","false",,,"COVID-19 ASST Bergamo","COVID-19 ASST Bergamo","BBMRI.it Network","BBMRI.it Network",,"Longitudinal,Disease specific,Hospital,Sample collection,Prospective study","Genealogical records","10.000 - 100.000","17533","Rare Disease,Oncology,Metabolic Disorders,Cardiovascular Diseases","2023-06-13T13:51:12Z","6083",,"Male,Female","Acute renal failure, unspecified,Chronic kidney disease, stage 5,Postprocedural disorders of circulatory system, not elsewhere classified - Other functional disturbances following cardiac surgery,Septic shock,Dietary counselling and surveillance,Leukaemia of unspecified cell type,Postprocedural endocrine and metabolic disorders, not elsewhere classified,Pre-eclampsia,Mechanical complication of other cardiac and vascular devices and implants,Polycystic kidney, autosomal dominant",,,"Year",,"DNA,Plasma,Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data,Images",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP,Sample processing PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:80c94c6377e04c5","Multifactorial gastroenterological pathologies Biobank (BIO-PANCREAS)","BIO-PANCREAS","Born in 2021, the BIO-PANCREAS includes collection of samples from patients with inflammatory pancreatic diseases (e.g., acute, acute recurrent, chronic pancreatitis), autoimmune biliary-pancreatic diseases (e.g. autoimmune pancreatitis), bilio-pancreatic diseases and bilio-pancreatic neoplastic diseases at diagnosis, during follow-up and at disease progression. Currently the collected material includes whole blood, plasma, feces, urine, saliva, cystic fluid, pancreatic juice and tissue (biopsies).",,,"Italy","45.5090759","9.2669454",,"tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Longitudinal,Disease specific,Hospital,Sample collection,Prospective study","Genealogical records","1000 - 10.000","1986","Rare Disease,Oncology","2023-05-09T11:01:34Z","993","1000 - 10.000","Male,Female","Malignant neoplasm of pancreas,Cyst of pancreas,Other chronic pancreatitis,Benign neoplasm of other and ill-defined parts of digestive system - Benign neoplasm: Endocrine pancreas","18","92","Year",,"DNA,Feces,Plasma,Saliva,Tissue (frozen),Urine,RNA,Whole Blood","-60°C to -80°C,Liquid Nitrogen",,,,"false","true",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:a242fc80c9e24a0","Chronic Leukemia Biobank (CLL-BIO)","CLL-BIO","The CLL-BIO includes collection of samples from patients with chronic lymphocytic leukemia and monoclonal B-cell lymphocytosis at diagnosis, during their follow-up after treatment, at disease progression, Richter's transformation and at the end of the study. Currently the collected material includes vital cells and CD19+ cells isolated from peripheral blood and bone marrow, serum, plasma, vital cells isolated from spleen and lymphnodes and buccal swab.",,,"Italy","45.5090759","9.2669454",,"tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Longitudinal,Disease specific,Hospital,Sample collection,Prospective study","Other","10.000 - 100.000","17773","Oncology","2023-05-03T10:50:15Z","833","1000 - 10.000","Male,Female","Lymphoid leukaemia","18","90","Year",,"Plasma,Serum,Peripheral blood cells,Throat swab","-60°C to -80°C,Liquid Nitrogen",,,,"false","false",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:a858e9d4ba3d4ea","Diabetes Research Institute Biobank (DRI)","BioDRI","Born in 2019, the Biobank of Diabetes Research Institute (BioDRI) was established for the collection and storage of human biological material to support research activities aimed at advancing scientific knowledge on pancreatic, autoimmune and metabolic diseases. All biological samples are identified by a unique identification code, stored in barcoded matrix tubes, and obtained, upon signed consent, from healthy or diseased donors, both adults and children. Currently the collected material include serum, plasma, peripheral blood mononuclear cells, whole blood and pancreatic cyst fluid.",,,"Italy","45.5090759","9.2669454",,"tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Disease specific,Hospital,Prospective study,Longitudinal","Biological samples,Medical records,Physiological/Biochemical measurements","1000 - 10.000","8374","Oncology,Metabolic Disorders","2023-05-09T11:01:56Z","950",,"Male,Female","Malignant neoplasm of pancreas,Type 1 diabetes mellitus,Type 2 diabetes mellitus,Malnutrition-related diabetes mellitus,Other specified diabetes mellitus,Unspecified diabetes mellitus,Other disorders of pancreatic internal secretion,Obesity,Acute pancreatitis,Other diseases of pancreas,Transplanted organ and tissue status,Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere","18","104","Year",,"Feces,Plasma,Serum,Urine,Peripheral blood cells,Whole Blood","Liquid Nitrogen",,,,"false","true",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:e11135207cf6423","Inflammatory Diseases Biobank (Med-Mol)","Med-Mol","Born in 2021, the Med-Mol collection includes samples from patients with respiratory diseases, immune-mediated diseases, inflammatory myopaties, infectious diseases/sepsis, metabolic diseases, rare diseases and pregnancy diseases at diagnosis/hospitalization, during the follow-up and at relevant clinical event. Currently the collected material include cells isolated from peripheral blood, serum, plasma, buffy coat, sputum, bronchoalveolar lavage, synovial fluid, urine and pathological frozen tissue.",,,"Italy","45.5090759","9.2669454",,"tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Longitudinal,Disease specific,Hospital,Sample collection,Prospective study","Biological samples,Medical records,Survey data,Physiological/Biochemical measurements","100 - 1000","530","Autoimmune Diseases,Metabolic Disorders","2023-05-09T11:02:20Z","107",,"Male,Female","Lupus erythematosus,Other systemic involvement of connective tissue,Other disorders involving the immune mechanism, not elsewhere classified,Pre-eclampsia,Placental disorders,Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium,Type 2 diabetes mellitus,Disorders of lipoprotein metabolism and other lipidaemias,Nutritional and metabolic disorders in diseases classified elsewhere,Fibrosis and cirrhosis of liver,Other diseases of liver",,,"Year",,"Plasma,Saliva,Serum,Tissue (frozen),Urine,Peripheral blood cells,Buffy Coat","Liquid Nitrogen,-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:e5b5e707eb1a416","Central nervous system diseases Biobank (NCH)","NCH","Born in 2019, the NCH includes collection of samples from patients with brain tumors, spinal tumors, CNS hemorrhage, CNS inflammatory disorders, CNS functional disorders and spinal degenerative disorders at diagnosis/ surgery. Currently the collected material includes cells isolated from peripheral blood, serum, plasma, liquor and frozen pathological/peripathological tissue.",,,"Italy","45.5090759","9.2669454",,"tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Disease specific,Hospital,Sample collection,Prospective study","Biological samples,Other","1000 - 10.000","1418","Rare Disease,Oncology,Nervous System Disorders,Cardiovascular Diseases","2023-05-09T11:03:21Z","717","100 - 1000","Male,Female","Malignant neoplasm of brain,Secondary malignant neoplasm of other and unspecified sites,Subarachnoid haemorrhage,Other nontraumatic intracranial haemorrhage,Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction,Other cerebrovascular diseases,Sequelae of cerebrovascular disease,Meningitis in bacterial diseases classified elsewhere,Meningitis due to other and unspecified causes,Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Other congenital malformations of spinal cord","22","93","Year",,"Plasma,Peripheral blood cells,Tissue (frozen),Serum","-60°C to -80°C,Liquid Nitrogen",,,,"false","true",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383758011993577:collection:f3d9c80e23bc462","Lung Cancer Tissue Collection (LCTC)","LCTC","Born in 2022, the LCTC includes collection of samples from patients with lung cancer (early and advanced stages) at surgery/diagnostic biopsy, at the end of first cycle of molecular therapy in patients with advanced stage (10% of the total samples) and disease progression. Currently the collected material include vital and frozen tumoral and peritumoral tissue, plasma and vital cells isolated from peripheral blood.",,,"Italy","45.5090759","9.2669454",,"tresoldi.cristina@hsr.it","Italy","false",,,"Centro Risorse Biologiche – Ospedale San Raffaele","Centro Risorse Biologiche – Ospedale San Raffaele","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network,COVID_19",,"Longitudinal,Disease specific,Hospital,Sample collection,Prospective study","Biological samples,Medical records,Survey data,Physiological/Biochemical measurements","<10","14","Oncology","2023-05-18T05:39:07Z","7","<10","Male,Female","Malignant neoplasm of bronchus and lung","43","77","Year",,"Tissue (frozen),Peripheral blood cells,Plasma","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data,Images",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample storage PD/SOP,Sample processing PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1383824434985378:collection:1444717533914953","onocological Samples","tumorint","The  collection of pathological tissues and, where available, of the corresponding normal tissue began in 2006 with an average recruitment of about 1300 cases / year. These are tissues from 16,000 patients with  various tumor diseases (30% breast. 18% colorectal, 16% sarcomas, 5% head and neck, 7% teguments, 7% lung, 6% female genital system. 3% lymphatic system, 5% urinary tract, 2% male genital tract) undergoing surgery. Since 2012, plasma, serum, whole blood and buffy coat samples have been collected, processed and stored from about 8000 patients with gynecological (20%), mammary (60%) and soft tissue sarcomas (15%) tumors. All tissue and blood material is stored in -80 ° C freezers.",,,"Italy","45.4742934","9.232191",,"mariagrazia.daidone@istitutotumori.mi.it","Italy","false",,,"Biobanca Istituzionale INT","Biobanca Istituzionale INT","BBMRI.it Network","BBMRI.it Network",,"Other","Other","10.000 - 100.000","10000",,"2022-06-29T04:14:26Z",,,"Male,Female",,,,"Year",,"Other,Plasma,Serum,Tissue (frozen),Tissue (paraffin preserved),Buffy Coat,Whole Blood","-60°C to -80°C",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1383929642991480:collection:1444717553513748","Collection all Samples","NEU-MD","The biobank provides samples as a service to the scientific community conducting research on neuromuscular disorders. Samples are from patients affected by different forms of muscular dystrophy, including the severe congenital and Duchenne muscular dystrophies, as well as limb girdle muscular dystrophies, congenital myopathies, distal and myofibrillar myopathies, inflammatory myopathies, and metabolic myopathies. Different types of biomaterials are frequently available from a single patient. . The Biobank is founding partner of the EuroBioBank network, the first operating network of biobanks for rare diseases in Europe, and of the Italian Telethon Network of Genetic Biobanks.",,,"Italy",,,,"francesca.andreetta@istituto-besta.it","Italy","false",,,"Neuromuscular Disease Biobank","Neuromuscular Disease Biobank","BBMRI.it Network","BBMRI.it Network",,"Other,Cohort,Disease specific,Hospital,Sample collection","Other,Medical records","10.000 - 100.000",,"Paediatrics","2021-04-08T13:14:42Z",,,"Not available",,"1","95","Year",,"Cell lines,DNA,Serum,Tissue (frozen)","-18°C to -35°C,Liquid Nitrogen",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1384167838447460:collection:1444717572702310","Collection all Samples",,"Collection all samples",,,"Italy",,,,"biobancaistituzionale@istitutotumori.na.it","Italy","false",,,"BioBanca Istituzionale","BioBanca Istituzionale","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network",,"Other","Other","10.000 - 100.000",,,"2021-04-08T13:14:42Z",,"1000 - 10.000","Not available",,,,"Year",,"Other",,,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1384167838447460:collection:1b5e16d30bc64e2","BioBanca Istituzionale","BBI","A regional platform for future innovative treatments of oncological pathologies through collection / storage / management of biological samples",,,"Italy",,,,"biobancaistituzionale@istitutotumori.na.it","Italy","false",,,"BioBanca Istituzionale","BioBanca Istituzionale","BBMRI.it Network","BioBanca Istituzionale,BBMRI.it Network",,"Cohort","Biological samples","100 - 1000","900",,"2021-12-09T13:14:55Z","300","100 - 1000","Male,Female",,,,"Year",,"Serum,Tissue (frozen),Whole Blood","-60°C to -80°C",,,,"false","true",,"false",,,,,,,
"bbmri-eric:ID:IT_1384262955037988:collection:1444717601686865","SARS-CoV-2 HCW","SARS-CoV-2 HCW","Serum samples collected from INMI healthcare workers for SARS-CoV-2 antibody determination (seroprevalence study)",,,"Italy","41.866093","12.4578221264",,"carla.fontana@inmi.it","Italy","false",,,"Centro Risorse Biologiche INMI L. Spallanzani","Centro Risorse Biologiche INMI L. Spallanzani","BBMRI.it Network,COVID_19","BBMRI.it Network,COVID_19",,"Disease specific","Not available","1000 - 10.000","1964",,"2021-05-07T12:54:55Z",,"100 - 1000","Not available",,"32","88","Year",,"Serum","-60°C to -80°C",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1384262955037988:collection:1591018459831921","2019-nCoV","2019-nCoV","Biological samples (serum, blood, PBMC, saliva, urine, feces, CSF, nasal and pharyngeal swab, rectal swab, eye swab and autopsy specimens)  from COVID-19 patients",,,"Italy","41.8535939","12.4387251",,"carla.fontana@inmi.it","Italy","false",,,"Centro Risorse Biologiche INMI L. Spallanzani","Centro Risorse Biologiche INMI L. Spallanzani","BBMRI.it Network,COVID_19","BBMRI.it Network,COVID_19",,"Disease specific","Biological samples,Antibodies titer (IgM and IgG)","10.000 - 100.000","9861",,"2021-04-27T12:56:30Z",,"10 - 100","Not available",,,,"Year",,,"-18°C to -35°C,-60°C to -80°C,Liquid Nitrogen",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1384262955037988:collection:159117670833922","Sieroprevalenza SARS-CoV-2 ISTAT","SARS-CoV-2 ISTAT","Serum samples collected for SARS-CoV-2 antibody determination (national seroprevalence study)",,,"Italy","41.8535939","12.4387251",,"carla.fontana@inmi.it","Italy","false",,,"Centro Risorse Biologiche INMI L. Spallanzani","Centro Risorse Biologiche INMI L. Spallanzani","BBMRI.it Network,COVID_19","BBMRI.it Network,COVID_19",,"Disease specific","Not available","100.000 - 1.000.000","168237",,"2021-04-27T12:54:49Z",,,"Not available",,,,"Year",,"Serum","-60°C to -80°C",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1384353239378890:collection:9dd8129ac4d14cc","Italung","Italung","Italung is a lung cancer screening trial with low-dose CT; it is a randomized controlled trial aiming to assess whether annual LDCT examination for 4 years decreases lung cancer mortality compared with usual care in smokers and former smokers. The study targets the recruitment of asymptomatic individuals with a high risk of developing lung cancer. The collection includes aliquotes from blood samples and from sputum samples.",,,"Italy",,,,"s.bisanzi@ispro.toscana.it","Italy","false",,,"Biobanca del Laboratorio Regionale Prevenzione Oncologica di ISPRO","Biobanca del Laboratorio Regionale Prevenzione Oncologica di ISPRO","BBMRI.it Network","BBMRI.it Network",,"Population-based","Biological samples","10.000 - 100.000","30000","Population Reference,Paediatrics","2022-02-03T11:03:02Z","1400",,"Male,Female",,"0","30","Year",,"Plasma,Serum,Whole Blood,Buffy Coat,Other","-60°C to -80°C",,,,"false","true",,"false",,,,,"Sample processing PD/SOP,Sample storage PD/SOP",,
"bbmri-eric:ID:IT_1384375808568138:collection:4f6c11721a554f0","Biobanca delle Artriti Reumatoidi","RA-BioBank","""Rheumatoid arthritis is a chronic inflammatory autoimmune disease. The RA-BioBank was established in 2014 with the aim of
collecting a large amount of biological samples to promote large-scale and high-quality basic and clinical research studies that can
help to better understand this disease and improve its treatments. The Biobank is associated with the Registry of Rheumatological
Diseases and Treatments of the Emilia-Romagna Region, which collect all the clinical and therapeutic data of patients with
rheumatoid arthritis in an electronic archive. The whole blood, plasma and serum samples stored within the Ra-BioBank are
available for serum biomarkers detection and genomic studies""",,,"Italy",,,,"francesco.ursini@ior.it","Italy","false",,,"Centro Risorse Biologiche Istituto Ortopedico Rizzoli","Centro Risorse Biologiche Istituto Ortopedico Rizzoli","BBMRI.it Network","BBMRI.it Network,Telethon Network of Genetic Biobanks",,"Disease specific,Sample collection","Biological samples,National registries,Other","10.000 - 100.000","3393","Paediatrics","2022-05-03T09:35:51Z",,,"Male,Female",,"0","99","Year",,"Plasma,Serum,Whole Blood","-60°C to -80°C,-18°C to -35°C",,,,"false","false",,"false",,"Samples,Data","The researcher makes a request via email with the appropriate format by entering information about the project and the data, the request is received centrally by the CRB’s CG. 
When the request is approved the specific biobank proceeds with the stipulation of the DTA and sharing data.",,"Data processing PD/SOP,Data transport PD/SOP,Data storage PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
